,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-24,JWN,"Nordstrom, Inc.",22.66,-9.27,-29.03,3.601B,44.1306266548985
1,2021-11-24,GPS,"The Gap, Inc.",17.84,-5.67,-24.12,6.71B,56.053811659192824
2,2021-11-24,TDCX,TDCX Inc.,18.72,-3.91,-17.28,2.674B,53.41880341880342
3,2021-11-24,ADSK,"Autodesk, Inc.",256.9,-47.1,-15.49,56.479B,3.892565200467108
4,2021-11-24,PLAN,"Anaplan, Inc.",44.22,-7.84,-15.06,6.464B,22.614201718679332
5,2021-11-24,WBX,Wallbox N.V.,12.89,-1.85,-12.55,2.075B,77.57951900698215
6,2021-11-24,DUOL,"Duolingo, Inc.",119.81,-16.01,-11.79,4.49B,8.346548702111678
7,2021-11-24,NOAH,Noah Holdings Limited,39.03,-5.04,-11.44,2.384B,25.621316935690494
8,2021-11-24,LMDX,LumiraDx Limited,8.63,-1.01,-10.48,2.181B,115.87485515643104
9,2021-11-24,DDS,"Dillard's, Inc.",377.67,-32.48,-7.92,7.785B,2.6478142293536684
10,2021-11-24,ROIV,Roivant Sciences Ltd.,6.99,-0.51,-6.8,4.787B,143.0615164520744
11,2021-11-24,HTHT,Huazhu Group Limited,44.38,-2.61,-5.55,28.406B,22.532672374943665
12,2021-11-24,DKS,"DICK'S Sporting Goods, Inc.",127.3,-7.25,-5.39,11.757B,7.855459544383347
13,2021-11-24,TV,"Grupo Televisa, S.A.B.",9.31,-0.52,-5.29,5.214B,107.41138560687432
14,2021-11-24,RCRUY,"Recruit Holdings Co., Ltd.",12.55,-0.64,-4.85,102.546B,79.6812749003984
15,2021-11-24,ARVN,"Arvinas, Inc.",78.25,-3.98,-4.84,4.137B,12.779552715654953
16,2021-11-24,XIACY,Xiaomi Corporation,12.4,-0.62,-4.8,63.135B,80.64516129032258
