PERMNO,date,TICKER,DIVAMT,PRC,RET,sprtrn
10158,20100630,,,,,-0.053882
10158,20100730,AMRC,,10,C,0.068778
10158,20100831,AMRC,,12.18,0.218,-0.047449
10158,20100930,AMRC,,11.9,-0.022989,0.087551
10158,20101029,AMRC,,13.12,0.102521,0.036856
10158,20101130,AMRC,,12.95,-0.012957,-0.00229
10158,20101231,AMRC,,14.36,0.10888,0.0653
10158,20110131,AMRC,,15.49,0.078691,0.022646
10158,20110228,AMRC,,14.42,-0.069077,0.031957
10158,20110331,AMRC,,14.14,-0.019417,-0.001047
10158,20110429,AMRC,,16.11,0.139321,0.028495
10158,20110531,AMRC,,14.62,-0.092489,-0.013501
10158,20110630,AMRC,,14.18,-0.030096,-0.018258
10158,20110729,AMRC,,13.46,-0.050776,-0.021474
10158,20110831,AMRC,,11.14,-0.172363,-0.056791
10158,20110930,AMRC,,10.16,-0.087971,-0.071762
10158,20111031,AMRC,,10.99,0.081693,0.107723
10158,20111130,AMRC,,11.88,0.080983,-0.005059
10158,20111230,AMRC,,13.72,0.154882,0.008533
10158,20120131,AMRC,,13.11,-0.044461,0.043583
10158,20120229,AMRC,,14.09,0.074752,0.040589
10158,20120330,AMRC,,13.55,-0.038325,0.031332
10158,20120430,AMRC,,12.19,-0.100369,-0.007497
10158,20120531,AMRC,,10.75,-0.11813,-0.062651
10158,20120629,AMRC,,11.93,0.109767,0.039555
10158,20120731,AMRC,,12.16,0.019279,0.012598
10158,20120831,AMRC,,12.01,-0.012335,0.019763
10158,20120928,AMRC,,11.81,-0.016653,0.024236
10158,20121031,AMRC,,11.06,-0.063506,-0.019789
10158,20121130,AMRC,,9.4,-0.15009,0.002847
10158,20121231,AMRC,,9.81,0.043617,0.007068
10158,20130131,AMRC,,9.84,0.003058,0.050428
10158,20130228,AMRC,,8.31,-0.155488,0.011061
10158,20130328,AMRC,,7.4,-0.109507,0.035988
10158,20130430,AMRC,,7.37,-0.004054,0.018086
10158,20130531,AMRC,,8.26,0.12076,0.020763
10158,20130628,AMRC,,9.01,0.090799,-0.014999
10158,20130731,AMRC,,9.14,0.014428,0.049462
10158,20130830,AMRC,,8.56,-0.063457,-0.031298
10158,20130930,AMRC,,10.02,0.170561,0.029749
10158,20131031,AMRC,,10.46,0.043912,0.044596
10158,20131129,AMRC,,9.18,-0.122371,0.028049
10158,20131231,AMRC,,9.66,0.052288,0.023563
10158,20140131,AMRC,,9.86,0.020704,-0.035583
10158,20140228,AMRC,,10.26,0.040568,0.043117
10158,20140331,AMRC,,7.56,-0.263158,0.006932
10158,20140430,AMRC,,6.41,-0.152116,0.006201
10158,20140530,AMRC,,6.55,0.021841,0.02103
10158,20140630,AMRC,,7.03,0.073282,0.019058
10158,20140731,AMRC,,7.52,0.069701,-0.01508
10158,20140829,AMRC,,8.41,0.118351,0.037655
10158,20140930,AMRC,,6.85,-0.185493,-0.015514
10158,20141031,AMRC,,8.24,0.20292,0.023201
10158,20141128,AMRC,,7.71,-0.06432,0.024534
10158,20141231,AMRC,,7,-0.092088,-0.004189
10158,20150130,AMRC,,5.83,-0.167143,-0.031041
10158,20150227,AMRC,,6.26,0.073756,0.054893
10158,20150331,AMRC,,7.4,0.182109,-0.017396
10158,20150430,AMRC,,6.72,-0.091892,0.008521
10158,20150529,AMRC,,7.26,0.080357,0.010491
10158,20150630,AMRC,,7.65,0.053719,-0.021012
10158,20150731,AMRC,,6.9,-0.098039,0.019742
10158,20150831,AMRC,,5.67,-0.178261,-0.062581
10158,20150930,AMRC,,5.88,0.037037,-0.026443
10158,20151030,AMRC,,6.48,0.102041,0.082983
10158,20151130,AMRC,,6.83,0.054012,0.000505
10158,20151231,AMRC,,6.25,-0.084919,-0.01753
10158,20160129,AMRC,,5.45,-0.128,-0.050735
10158,20160229,AMRC,,5.14,-0.056881,-0.004128
10158,20160331,AMRC,,4.77,-0.071984,0.065991
10158,20160429,AMRC,,4.47,-0.062893,0.002699
10158,20160531,AMRC,,4.68,0.04698,0.015329
10158,20160630,AMRC,,4.37,-0.066239,0.000906
10158,20160729,AMRC,,4.95,0.132723,0.03561
10158,20160831,AMRC,,4.78,-0.034343,-0.001219
10158,20160930,AMRC,,5.26,0.100418,-0.001234
10158,20161031,AMRC,,4.8,-0.087452,-0.019426
10158,20161130,AMRC,,5.95,0.239583,0.034174
10158,20161230,AMRC,,5.5,-0.07563,0.018201
10158,20170131,AMRC,,5.2,-0.054545,0.017884
10158,20170228,AMRC,,5.05,-0.028846,0.037198
10158,20170331,AMRC,,6.55,0.29703,-0.000389
10158,20170428,AMRC,,6.45,-0.015267,0.009091
10158,20170531,AMRC,,6.9,0.069767,0.011576
10158,20170630,AMRC,,7.7,0.115942,0.004814
10158,20170731,AMRC,,6.55,-0.149351,0.019349
10158,20170831,AMRC,,7.25,0.10687,0.000546
10158,20170929,AMRC,,7.8,0.075862,0.019303
10158,20171031,AMRC,,7.7,-0.012821,0.022188
10158,20171130,AMRC,,8.5,0.103896,0.028083
10158,20171229,AMRC,,8.6,0.011765,0.009832
10158,20180131,AMRC,,8.7,0.011628,0.056179
10158,20180228,AMRC,,8.15,-0.063218,-0.038947
10158,20180329,AMRC,,13,0.595092,-0.026885
10158,20180430,AMRC,,11.85,-0.088462,0.002719
10158,20180531,AMRC,,11.95,0.008439,0.021608
10158,20180629,AMRC,,12,0.004184,0.004842
10158,20180731,AMRC,,13.4,0.116667,0.036022
10158,20180831,AMRC,,14.35,0.070896,0.030263
10158,20180928,AMRC,,13.65,-0.048781,0.004294
10158,20181031,AMRC,,16.37,0.199267,-0.069403
10158,20181130,AMRC,,15.72,-0.039707,0.017859
10158,20181231,AMRC,,14.1,-0.103053,-0.091777
10158,20190131,AMRC,,14.93,0.058865,0.078684
10158,20190228,AMRC,,16.37,0.09645,0.029729
10158,20190329,AMRC,,16.18,-0.011607,0.017924
10158,20190430,AMRC,,15.06,-0.069221,0.039313
10158,20190531,AMRC,,14.5,-0.037185,-0.065778
10158,20190628,AMRC,,14.73,0.015862,0.06893
10158,20190731,AMRC,,14.25,-0.032587,0.013128
10158,20190830,AMRC,,14.4,0.010526,-0.018092
10158,20190930,AMRC,,16.07,0.115972,0.017181
10158,20191031,AMRC,,14.74,-0.082763,0.020432
10158,20191129,AMRC,,16.35,0.109227,0.034047
10158,20191231,AMRC,,17.5,0.070336,0.02859
10201,20100630,,,,,-0.053882
10201,20100730,AT,0.08831,12.9251,C,0.068778
10201,20100831,AT,0.08633,12.5,-0.02621,-0.047449
10201,20100930,AT,0.08893,13.85,0.115114,0.087551
10201,20101029,AT,0.0892,13.38,-0.027495,0.036856
10201,20101130,AT,0.08842,13.87,0.04323,-0.00229
10201,20101231,AT,0.0909,14.76,0.070721,0.0653
10201,20110131,AT,0.09153,15.31,0.043464,0.022646
10201,20110228,AT,0.09211,15.46,0.015814,0.031957
10201,20110331,AT,0.09312,15.13,-0.015322,-0.001047
10201,20110429,AT,0.09564,15.18,0.009626,0.028495
10201,20110531,AT,0.09322,15.45,0.023928,-0.013501
10201,20110630,AT,0.09223,15.22,-0.008917,-0.018258
10201,20110729,AT,0.09658,15.61,0.03197,-0.021474
10201,20110831,AT,0.09289,15.48,-0.002377,-0.056791
10201,20110930,AT,0.08917,14.19,-0.077573,-0.071762
10201,20111031,AT,0.09003,13.5,-0.042281,0.107723
10201,20111130,AT,0.09109,13.15,-0.019179,-0.005059
10201,20111230,AT,0.09392,14.3,0.094595,0.008533
10201,20120131,AT,0.09563,14.83,0.04375,0.043583
10201,20120229,AT,0.09584,14.49,-0.016464,0.040589
10201,20120330,AT,0.09658,13.84,-0.038193,0.031332
10201,20120430,AT,0.09718,14.28,0.038814,-0.007497
10201,20120531,AT,0.09351,13.34,-0.059278,-0.062651
10201,20120629,AT,0.09329,12.81,-0.032737,0.039555
10201,20120731,AT,0.09461,13.78,0.083108,0.012598
10201,20120831,AT,0.09687,14.11,0.030977,0.019763
10201,20120928,AT,0.09788,14.96,0.067178,0.024236
10201,20121031,AT,0.09609,15.02,0.010434,-0.019789
10201,20121130,AT,0.09651,11.8,-0.207955,0.002847
10201,20121231,AT,0.09659,11.43,-0.02317,0.007068
10201,20130131,AT,0.09505,12.29,0.083556,0.050428
10201,20130228,AT,0.09359,9.97,-0.181156,0.011061
10201,20130328,AT,0.03262,4.93,-0.502245,0.035988
10201,20130430,AT,0.03259,4.7,-0.040043,0.018086
10201,20130531,AT,0.03218,4.75,0.017485,0.020763
10201,20130628,AT,0.31737,3.94,-0.103712,-0.014999
10201,20130731,AT,0.03241,4.26,0.089444,0.049462
10201,20130830,AT,0.03171,3.97,-0.060631,-0.031298
10201,20130930,AT,0.03234,4.31,0.093788,0.029749
10201,20131031,AT,0.03191,4.49,0.049167,0.044596
10201,20131129,AT,0.03158,3.7,-0.168913,0.028049
10201,20131231,AT,0.03133,3.48,-0.050992,0.023563
10201,20140131,AT,0.02996,2.65,-0.229897,-0.035583
10201,20140228,AT,0.0301,2.6,-0.00751,0.043117
10201,20140331,AT,0.0299,2.9,0.126885,0.006932
10201,20140430,AT,0.03018,2.97,0.034545,0.006201
10201,20140530,AT,0.03071,3.4,0.155121,0.02103
10201,20140630,AT,0.03104,4.1,0.215012,0.019058
10201,20140731,AT,0.03083,3.77,-0.072968,-0.01508
10201,20140829,AT,0.03038,3.96,0.058456,0.037655
10201,20140930,AT,,2.38,-0.39899,-0.015514
10201,20141031,AT,,2.22,-0.067227,0.023201
10201,20141128,AT,0.02667,2.28,0.039041,0.024534
10201,20141231,AT,,2.71,0.188597,-0.004189
10201,20150130,AT,,2.65,-0.02214,-0.031041
10201,20150227,AT,0.02382,2.9,0.103328,0.054893
10201,20150331,AT,,2.81,-0.031035,-0.017396
10201,20150430,AT,,3.25,0.156584,0.008521
10201,20150529,AT,0.02426,2.95,-0.084843,0.010491
10201,20150630,AT,,3.08,0.044068,-0.021012
10201,20150731,AT,,2.49,-0.191558,0.019742
10201,20150831,AT,0.02253,2.35,-0.047177,-0.062581
10201,20150930,AT,,1.86,-0.208511,-0.026443
10201,20151030,AT,,2.04,0.096774,0.082983
10201,20151130,AT,0.0249,2,-0.007402,0.000505
10201,20151231,AT,,1.97,-0.015,-0.01753
10201,20160129,AT,,1.87,-0.050761,-0.050735
10201,20160229,AT,,1.72,-0.080214,-0.004128
10201,20160331,AT,,2.46,0.430233,0.065991
10201,20160429,AT,,2.66,0.081301,0.002699
10201,20160531,AT,,2.35,-0.116541,0.015329
10201,20160630,AT,,2.48,0.055319,0.000906
10201,20160729,AT,,2.52,0.016129,0.03561
10201,20160831,AT,,2.58,0.02381,-0.001219
10201,20160930,AT,,2.47,-0.042636,-0.001234
10201,20161031,AT,,2.3,-0.068826,-0.019426
10201,20161130,AT,,2.65,0.152174,0.034174
10201,20161230,AT,,2.5,-0.056604,0.018201
10201,20170131,AT,,2.35,-0.06,0.017884
10201,20170228,AT,,2.35,0,0.037198
10201,20170331,AT,,2.65,0.12766,-0.000389
10201,20170428,AT,,2.5,-0.056604,0.009091
10201,20170531,AT,,2.35,-0.06,0.011576
10201,20170630,AT,,2.4,0.021277,0.004814
10201,20170731,AT,,2.3,-0.041667,0.019349
10201,20170831,AT,,2.45,0.065217,0.000546
10201,20170929,AT,,2.45,0,0.019303
10201,20171031,AT,,2.45,0,0.022188
10201,20171130,AT,,2.55,0.040816,0.028083
10201,20171229,AT,,2.35,-0.078431,0.009832
10201,20180131,AT,,2.1,-0.106383,0.056179
10201,20180228,AT,,2.1,0,-0.038947
10201,20180329,AT,,2.1,0,-0.026885
10201,20180430,AT,,2.2,0.047619,0.002719
10201,20180531,AT,,2.05,-0.068182,0.021608
10201,20180629,AT,,2.2,0.073171,0.004842
10201,20180731,AT,,2.2,0,0.036022
10201,20180831,AT,,2.2,0,0.030263
10201,20180928,AT,,2.2,0,0.004294
10201,20181031,AT,,2.2,0,-0.069403
10201,20181130,AT,,2.19,-0.004545,0.017859
10201,20181231,AT,,2.17,-0.009132,-0.091777
10201,20190131,AT,,2.51,0.156682,0.078684
10201,20190228,AT,,2.69,0.071713,0.029729
10201,20190329,AT,,2.52,-0.063197,0.017924
10201,20190430,AT,,2.31,-0.083333,0.039313
10201,20190531,AT,,2.33,0.008658,-0.065778
10201,20190628,AT,,2.42,0.038627,0.06893
10201,20190731,AT,,2.39,-0.012397,0.013128
10201,20190830,AT,,2.29,-0.041841,-0.018092
10201,20190930,AT,,2.34,0.021834,0.017181
10201,20191031,AT,,2.33,-0.004274,0.020432
10201,20191129,AT,,2.36,0.012876,0.034047
10201,20191231,AT,,2.33,-0.012712,0.02859
10220,20100730,,,,,0.068778
10220,20100831,BWC,,22.4,C,-0.047449
10220,20100930,BWC,,21.28,-0.05,0.087551
10220,20101029,BWC,,22.82,0.072368,0.036856
10220,20101130,BWC,,24.29,0.064417,-0.00229
10220,20101231,BWC,,25.59,0.05352,0.0653
10220,20110131,BWC,,29.25,0.143025,0.022646
10220,20110228,BWC,,33.77,0.15453,0.031957
10220,20110331,BWC,,33.38,-0.011549,-0.001047
10220,20110429,BWC,,31.41,-0.059017,0.028495
10220,20110531,BWC,,28.05,-0.106972,-0.013501
10220,20110630,BWC,,27.71,-0.012121,-0.018258
10220,20110729,BWC,,24.98,-0.09852,-0.021474
10220,20110831,BWC,,23.03,-0.078062,-0.056791
10220,20110930,BWC,,19.55,-0.151107,-0.071762
10220,20111031,BWC,,21.99,0.124808,0.107723
10220,20111130,BWC,,22.68,0.031378,-0.005059
10220,20111230,BWC,,24.14,0.064374,0.008533
10220,20120131,BWC,,24.85,0.029412,0.043583
10220,20120229,BWC,,25.74,0.035815,0.040589
10220,20120330,BWC,,25.75,0.000389,0.031332
10220,20120430,BWC,,24.6,-0.04466,-0.007497
10220,20120531,BWC,,24.65,0.002032,-0.062651
10220,20120629,BWC,,24.5,-0.006085,0.039555
10220,20120731,BWC,,25.1,0.02449,0.012598
10220,20120831,BWC,,24.67,-0.017131,0.019763
10220,20120928,BWC,,25.47,0.032428,0.024236
10220,20121031,BWC,,25.77,0.011779,-0.019789
10220,20121130,BWC,0.08,25.19,-0.019402,0.002847
10220,20121231,BWC,,26.2,0.040095,0.007068
10220,20130131,BWC,,26.64,0.016794,0.050428
10220,20130228,BWC,0.08,27.02,0.017267,0.011061
10220,20130328,BWC,,28.41,0.051443,0.035988
10220,20130430,BWC,,27.2,-0.042591,0.018086
10220,20130531,BWC,0.08,29.68,0.094118,0.020763
10220,20130628,BWC,,30.03,0.011792,-0.014999
10220,20130731,BWC,,30.54,0.016983,0.049462
10220,20130830,BWC,0.08,30.99,0.017354,-0.031298
10220,20130930,BWC,,33.72,0.088093,0.029749
10220,20131031,BWC,,32.21,-0.044781,0.044596
10220,20131129,BWC,0.1,32.47,0.011177,0.028049
10220,20131231,BWC,,34.19,0.052972,0.023563
10220,20140131,BWC,,34.28,0.002632,-0.035583
10220,20140228,BWC,0.1,32.96,-0.035589,0.043117
10220,20140331,BWC,,33.2,0.007282,0.006932
10220,20140430,BWC,,34.79,0.047892,0.006201
10220,20140530,BWC,0.1,32.32,-0.068123,0.02103
10220,20140630,BWC,,32.46,0.004332,0.019058
10220,20140731,BWC,,31.04,-0.043746,-0.01508
10220,20140829,BWC,0.1,29.05,-0.060889,0.037655
10220,20140930,BWC,,27.69,-0.046816,-0.015514
10220,20141031,BWC,,28.6,0.032864,0.023201
10220,20141128,BWC,0.1,29.63,0.03951,0.024534
10220,20141231,BWC,,30.3,0.022612,-0.004189
10220,20150130,BWC,,27.23,-0.10132,-0.031041
10220,20150227,BWC,0.1,31.04,0.143592,0.054893
10220,20150331,BWC,,32.09,0.033827,-0.017396
10220,20150430,BWC,,32.32,0.007167,0.008521
10220,20150529,BWC,0.1,33.29,0.033106,0.010491
10220,20150630,BWC,,32.8,-0.014719,-0.021012
10220,20150731,BWXT,9.95,24.56,0.053499,0.019742
10220,20150831,BWXT,0.06,26.52,0.082248,-0.062581
10220,20150930,BWXT,,26.36,-0.006033,-0.026443
10220,20151030,BWXT,,28.3,0.073596,0.082983
10220,20151130,BWXT,0.06,30.45,0.078092,0.000505
10220,20151231,BWXT,,31.77,0.04335,-0.01753
10220,20160129,BWXT,,29.94,-0.057602,-0.050735
10220,20160229,BWXT,,31.9,0.065464,-0.004128
10220,20160331,BWXT,0.09,33.56,0.054859,0.065991
10220,20160429,BWXT,,33.39,-0.005066,0.002699
10220,20160531,BWXT,0.09,35.17,0.056005,0.015329
10220,20160630,BWXT,,35.77,0.01706,0.000906
10220,20160729,BWXT,,36.81,0.029075,0.03561
10220,20160831,BWXT,0.09,38.81,0.056778,-0.001219
10220,20160930,BWXT,,38.37,-0.011337,-0.001234
10220,20161031,BWXT,,39.22,0.022153,-0.019426
10220,20161130,BWXT,0.09,39.16,0.000765,0.034174
