,PERMNO_x,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,CUSIP,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMDIS,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,BEGVOL,ENDVOL,yrMonth,TICKER,PERMNO_y,date,DIVAMT,PRC,RET,sprtrn,initialShr,value
0,10158,53454,11,100,AMRC,AMERESCO INC,AMRC,541330.0,N,A,R,02361E10,0,0,1,8711,3,0,117,1,0,20100722,20191231,20100722,20191231,20100722,20191231,20100722,20191231,20100722,AMRC,,,,,,,,
1,10201,53455,12,100,AT,ATLANTIC POWER CORP,AT,221118.0,N,A,R,04878Q86,0,0,1,4931,2,55,116,1,0,20100723,20191231,20100723,20191231,20100723,20191231,20100723,20191231,20100723,AT,,,,,,,,
2,10220,53456,11,100,BWXT,B W X TECHNOLOGIES INC,BWXT,332313.0,N,A,R,05605H10,0,0,1,3443,3,30,115,1,0,20100802,20191231,20100802,20191231,20100802,20191231,20100802,20191231,20100802,BWXT,,,,,,,,
3,10223,53458,31,233,,CAMELOT INFORMATION SYSTEMS INC,CIS,541511.0,N,A,R,13322V10,0,0,1,7371,1,1,2,1,0,20100721,20140327,20100721,20140327,20100721,20140327,20100721,20140327,20100721,,,,,,,,,
4,11003,53459,71,231,,WILLIAMS PARTNERS LP NEW,WPZ,211111.0,N,A,R,96949L10,0,0,1,4922,4,34,103,1,0,20100729,20180810,20100729,20180810,20100729,20180810,20100729,20180810,20100729,,,,,,,,,
5,11361,53460,71,100,ECT,E C A MARCELLUS TRUST I,ECT,211111.0,N,A,R,26827L10,0,0,1,1311,1,38,115,1,0,20100701,20191231,20100701,20191231,20100701,20191231,20100701,20191231,20100701,ECT,,,,,,,,
6,11370,53461,11,100,ENV,ENVESTNET INC,ENV,511210.0,N,A,R,29404K10,0,0,1,7372,3,0,117,1,0,20100729,20191231,20100729,20191231,20100729,20191231,20100729,20191231,20100729,ENV,,,,,,,,
7,11664,53462,11,100,GDOT,GREEN DOT CORP,GDOT,561499.0,N,A,R,39304D10,0,0,1,7389,2,0,116,1,0,20100722,20191231,20100722,20191231,20100722,20191231,20100722,20191231,20100722,GDOT,,,,,,,,
8,11990,53463,11,100,KKR,K K R & CO INC,KKR,523920.0,N,A,R,48251W10,0,0,1,6282,3,40,118,1,0,20100715,20191231,20100715,20191231,20100715,20191231,20100715,20191231,20100715,KKR,,,,,,,,
9,11999,53465,11,574,,MOLYCORP INC DE,MCP,212299.0,N,A,R,60875310,0,0,1,1099,1,0,61,1,0,20100729,20150624,20100729,20150624,20100729,20150624,20100729,20150624,20100729,,,,,,,,,
10,12007,53466,71,574,,WESTMORELAND RESOURCE PTNRS LP,WMLP,212111.0,N,A,R,96108P10,0,0,1,1221,2,23,103,1,0,20100714,20181008,20100714,20181008,20100714,20181008,20100714,20181008,20100714,,,,,,,,,
11,12009,53467,11,100,QUAD,QUAD GRAPHICS INC,QUAD,323111.0,N,A,R,74730110,0,0,1,2752,2,36,116,1,0,20100706,20191231,20100706,20191231,20100706,20191231,20100706,20191231,20100706,QUAD,,,,,,,,
12,12011,53468,11,233,,REALD INC,RLD,334220.0,N,A,R,75604L10,0,0,1,3663,1,1,70,1,0,20100716,20160322,20100716,20160322,20100716,20160322,20100716,20160322,20100716,,,,,,,,,
13,12015,53470,14,100,NTG,TORTOISE MIDSTREAM ENERGY FD INC,NTG,525990.0,N,A,R,89148B10,0,0,1,6722,3,38,117,1,0,20100728,20191231,20100728,20191231,20100728,20191231,20100728,20191231,20100728,NTG,,,,,,,,
14,12017,53444,11,100,XSPA,XPRESSPA GROUP INC,XSPA,812990.0,Q,A,R,98420U60,60069680,66387,3,4899,8,2,110,1,296,20100727,20191231,20100727,20191231,20100727,20191231,20100727,20191231,20100727,XSPA,,,,,,,,
15,12018,53472,12,570,,LINIU TECHNOLOGY GROUP,LINU,511210.0,Q,A,R,G5497120,60067692,62149,3,9999,5,11,26,1,517,20100702,20180511,20100702,20180511,20100702,20180511,20100702,20180511,20100702,,,,,,,,,
16,12021,53473,31,233,,AUTONAVI HOLDINGS LIMITED,AMAP,511210.0,Q,A,R,05330F10,60069681,66008,3,9999,1,1,15,1,245,20100701,20140717,20100701,20140717,20100701,20140717,20100701,20140717,20100701,,,,,,,,,
17,12023,53474,12,580,,B I Q I INTERNATIONAL HLDNGS COR,BIQI,112210.0,Q,A,R,G1288E10,60069779,66168,3,9999,6,1,88,1,429,20100720,20190709,20100720,20190709,20100720,20190709,20100720,20190709,20100720,,,,,,,,,
18,12025,53475,11,241,,PEOPLES FEDERAL BANCSHARES INC,PEOP,522120.0,Q,A,R,71103710,60069610,65901,3,9999,1,15,38,1,421,20100707,20150220,20100707,20150220,20100707,20150220,20100707,20150220,20100707,,,,,,,,,
19,12026,53476,11,233,,QLIK TECHNOLOGIES INC,QLIK,511210.0,Q,A,R,74733T10,60069800,66196,3,9999,1,1,57,1,249,20100716,20160822,20100716,20160822,20100716,20160822,20100716,20160822,20100716,,,,,,,,,
20,12027,53477,12,233,,SMART TECHNOLOGIES INC,SMT,334413.0,Q,A,R,83172R20,60069808,66205,3,9999,2,2,8,1,254,20100715,20160914,20100715,20160914,20100715,20160914,20100715,20160914,20100715,,,,,,,,,
21,12030,53478,11,552,,T H T HEAT TRANSFER TECHNOL INC,THTI,332410.0,Q,A,R,88603110,60065662,58427,3,6719,2,0,43,1,476,20100708,20160113,20100708,20160113,20100708,20160113,20100708,20160113,20100708,,,,,,,,,
22,12032,53479,11,560,,ZOO ENTERTAINMENT INC,ZOOG,511210.0,Q,A,R,98978F20,60064482,56626,3,1000,3,0,13,1,176,20100707,20111118,20100707,20111118,20100707,20111118,20100707,20111118,20100707,,,,,,,,,
23,12038,53480,31,580,,AMBOW EDUCATION HOLDING LTD,AMBO,611691.0,N,A,R,02322P10,0,0,1,8299,1,0,2,1,0,20100806,20130322,20100806,20130322,20100806,20130322,20100806,20130322,20100806,,,,,,,,,
24,12039,53481,44,100,BBN,BLACKROCK TAXABLE MUNI BOND TR,BBN,523991.0,N,A,R,09248X10,0,0,1,6733,4,112,116,1,0,20100827,20191231,20100827,20191231,20100827,20191231,20100827,20191231,20100827,BBN,,,,,,,,
