,name1,Symbol,Name,Firm
0,Lockheed Martin Corporation ,LMT,Lockheed Martin Corporation Common Stock,Schall Law Firm
1,"Camber Energy, Inc. ",CEI,Camber Energy Inc. Common Stock,Schall Law Firm
2,TMC the metals company Inc. ,TMC,TMC the metals company Inc. Common Stock,Schall Law Firm
3,"Robinhood Markets, Inc. ",HOOD,Robinhood Markets Inc. Class A Common Stock,Schall Law Firm
4,Bristol-Myers Squibb Company ,BMY,Bristol-Myers Squibb Company Common Stock,Schall Law Firm
5,Tencent Music Entertainment Group ,TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,Schall Law Firm
6,BioMarin Pharmaceutical Inc. ,BMRN,BioMarin Pharmaceutical Inc. Common Stock,Schall Law Firm
7,Honeywell International Inc. ,HON,Honeywell International Inc. Common Stock,Schall Law Firm
8,Snap Inc. ,SNAP,Snap Inc. Class A Common Stock,Schall Law Firm
9,Gaotu Techedu Inc. f/k/a GSX Techedu Inc. ,GOTU,Gaotu Techedu Inc. American Depositary Shares,Schall Law Firm
10,"Amarin Corporation, plc ",AMRN,Amarin Corporation plc,Schall Law Firm
11,"Lightning eMotors, Inc. f/k/a GigCapital3, Inc. ",ZEV,Lightning eMotors Inc Common Stock,Schall Law Firm
12,InnovAge Holding Corp. ,INNV,InnovAge Holding Corp. Common Stock,Schall Law Firm
13,"Revance Therapeutics, Inc. ",RVNC,Revance Therapeutics Inc. Common Stock,Schall Law Firm
14,Organogenesis Holdings Inc. ,ORGO,Organogenesis Holdings Inc. Class A Common Stock,Schall Law Firm
15,Vipshop Holdings Limited ,VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares,Schall Law Firm
16,Faraday Future Intelligent Electric Inc. ,FFIE,Faraday Future Intelligent Electric Inc. Common Stock,Schall Law Firm
17,Joint Corp. ,JYNT,Joint Corp. Common Stock,Schall Law Firm
18,"Ginkgo Bioworks Holdings, Inc. ",DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,Schall Law Firm
19,Omeros Corporation ,OMER,Omeros Corporation Common Stock,Schall Law Firm
20,Lightspeed Commerce Inc. ,LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,Schall Law Firm
21,Hyzon Motors Inc. ,HYZN,Hyzon Motors Inc. Class A Common Stock,Schall Law Firm
22,Viatris Inc. ,VTRS,Viatris Inc. Common Stock,Schall Law Firm
23,"Tivity Health, Inc. ",TVTY,Tivity Health Inc. Common Stock,Schall Law Firm
24,"Honest Company, Inc. ",HNST,Honest Company Inc. Common Stock,Schall Law Firm
25,HyreCar Inc. ,HYRE,HyreCar Inc. Common Stock,Schall Law Firm
26,"Katapult Holdings, Inc. ",KPLT,Katapult Holdings Inc. Common Stock,Schall Law Firm
27,"Axsome Therapeutics, Inc. ",AXSM,Axsome Therapeutics Inc. Common Stock,Schall Law Firm
28,"Akebia Therapeutics, Inc. ",AKBA,Akebia Therapeutics Inc. Common Stock,Schall Law Firm
29,Kansas City Southern ,KSU,Kansas City Southern Common Stock,Schall Law Firm
30,Mitsubishi Electric Corporation ,MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Schall Law Firm
31,"Rackspace Technology, Inc. ",RXT,Rackspace Technology Inc. Common Stock,Schall Law Firm
32,Wunong Net Technology Company Limited ,WNW,Wunong Net Technology Company Limited Ordinary Shares,Schall Law Firm
33,"NGM Biopharmaceuticals, Inc. ",NGM,NGM Biopharmaceuticals Inc. Common Stock,Schall Law Firm
34,MOGU Inc. ,MOGU,MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares),Schall Law Firm
35,Cloopen Group Holding Limited ,RAAS,Cloopen Group Holding Limited American Depositary Shares each representing two Class A Ordinary Shares,Schall Law Firm
36,AstraZeneca PLC ,AZN,AstraZeneca PLC American Depositary Shares,Schall Law Firm
37,Datto Holding Corp. ,MSP,Datto Holding Corp. Common Stock,Schall Law Firm
38,"Apollo Global Management, Inc. ",APO,Apollo Global Management Inc. Class A Common Stock,Schall Law Firm
39,"Lyra Therapeutics, Inc. ",LYRA,Lyra Therapeutics Inc. Common Stock,Schall Law Firm
40,"Muscle Maker, Inc. ",GRIL,Muscle Maker Inc Common Stock,Schall Law Firm
41,Vitru Limited ,VTRU,Vitru Limited Common Shares,Schall Law Firm
42,Zhongchao Inc. ,ZCMD,Zhongchao Inc. Class A Ordinary Shares,Schall Law Firm
43,OrthoPediatrics Corp. ,KIDS,OrthoPediatrics Corp. Common Stock,Schall Law Firm
44,"Acuity Brands, Inc. ",AYI,Acuity Brands Inc. ,Schall Law Firm
45,World Acceptance Corporation ,WRLD,World Acceptance Corporation Common Stock,Schall Law Firm
46,"Expedia Group, Inc. ",EXPE,Expedia Group Inc. Common Stock,Schall Law Firm
