,name1,Symbol,Name,Firm
0,Amarin Corporation plc,AMRN,Amarin Corporation plc,Thornton Law Firm
1,Bristol-Myers Squibb Company,BMY,Bristol-Myers Squibb Company Common Stock,Thornton Law Firm
2,CareDx Inc.,CDNA,CareDx Inc. Common Stock,Thornton Law Firm
3,Eargo Inc.,EAR,Eargo Inc. Common Stock,Thornton Law Firm
4,Facebook Inc.,FB,Facebook Inc. Class A Common Stock,Thornton Law Firm
5,Hyzon Motors Inc.,HYZN,Hyzon Motors Inc. Class A Common Stock,Thornton Law Firm
6,InnovAge Holding Corp.,INNV,InnovAge Holding Corp. Common Stock,Thornton Law Firm
7,loanDepot Inc.,LDI,loanDepot Inc. Class A Common Stock,Thornton Law Firm
8,Revance Therapeutics Inc.,RVNC,Revance Therapeutics Inc. Common Stock,Thornton Law Firm
9,Snap Inc.,SNAP,Snap Inc. Class A Common Stock,Thornton Law Firm
11,Tencent Music Entertainment Group,TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,Thornton Law Firm
12,Boston Beer Company Inc.,SAM,Boston Beer Company Inc. (The) Common Stock,Thornton Law Firm
13,Honest Company Inc.,HNST,Honest Company Inc. Common Stock,Thornton Law Firm
14,TMC the metals company Inc.,TMC,TMC the metals company Inc. Common Stock,Thornton Law Firm
15,Vipshop Holdings Limited,VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares,Thornton Law Firm
16,Waterdrop Inc.,WDH,Waterdrop Inc. American Depositary Shares (each representing the right to receive 10 Class A Ordinary Shares),Thornton Law Firm
