,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-22,SNAP,Snap Inc.,55.14,-19.97,-26.59,88.764B,18.14
1,2021-10-22,MGNI,"Magnite, Inc.",25.93,-4.09,-13.62,3.403B,38.57
2,2021-10-22,BYND,"Beyond Meat, Inc.",95.8,-12.82,-11.8,6.06B,10.44
3,2021-10-22,INTC,Intel Corporation,49.46,-6.54,-11.68,201.154B,20.22
4,2021-10-22,WISH,ContextLogic Inc.,5.2,-0.62,-10.65,3.266B,192.31
5,2021-10-22,CRTO,Criteo S.A.,33.59,-3.86,-10.31,2.049B,29.77
6,2021-10-22,FCEL,"FuelCell Energy, Inc.",7.29,-0.82,-10.11,2.673B,137.17
7,2021-10-25,PINS,"Pinterest, Inc.",50.68,-7.38,-12.71,32.67B,19.73164956590371
8,2021-10-25,DWAC,Digital World Acquisition Corp.,83.86,-10.34,-10.98,3.014B,11.924636298592892
9,2021-10-25,OBMP,"Theralink Technologies, Inc.",1.76,-0.16,-8.33,9.778B,568.1818181818181
10,2021-10-25,PBCRF,PT Bank Central Asia Tbk,0.52,-0.045,-7.96,64.103B,1923.076923076923
11,2021-10-25,GWH,"ESS Tech, Inc.",15.4,-1.29,-7.73,2.08B,64.93506493506493
12,2021-10-25,MCG,Membership Collective Group Inc.,10.94,-0.9,-7.6,2.232B,91.4076782449726
13,2021-10-26,CVLT,"Commvault Systems, Inc.",61.04,-14.65,-19.36,2.8B,16.382699868938403
14,2021-10-26,EVGRF,China Evergrande New Energy Vehicle Group Limited,0.5,-0.1,-16.67,4.884B,2000.0
15,2021-10-26,CITAF,"COSCO SHIPPING Development Co., Ltd.",0.171,-0.029,-14.5,4.377B,5847.953216374269
16,2021-10-26,CAJ,Canon Inc.,21.54,-3.49,-13.94,22.526B,46.42525533890437
17,2021-10-26,BEKE,KE Holdings Inc.,20.8,-3.15,-13.15,24.771B,48.07692307692307
18,2021-10-26,DAN,Dana Incorporated,22.11,-3.07,-12.19,3.211B,45.228403437358665
19,2021-10-26,MP,MP Materials Corp.,33.48,-4.62,-12.13,5.951B,29.86857825567504
20,2021-10-26,NEU,NewMarket Corporation,332.01,-44.5,-11.82,3.628B,3.011957471160508
21,2021-10-26,AKCCF,Aker Carbon Capture ASA,3.6,-0.48,-11.76,2.175B,277.77777777777777
22,2021-10-26,LMT,Lockheed Martin Corporation,331.91,-44.42,-11.8,91.911B,3.0128649332650417
23,2021-10-26,XRX,Xerox Holdings Corporation,18.2,-2.37,-11.52,3.248B,54.94505494505495
24,2021-10-26,GTLB,GitLab Inc.,108.94,-12.96,-10.63,15.58B,9.179364787956674
25,2021-10-26,CAJFF,Canon Inc.,21.69,-2.49,-10.32,23.416B,46.10419548178884
26,2021-10-26,SEKEF,Seiko Epson Corporation,17.65,-1.84,-9.44,6.107B,56.657223796034
27,2021-10-26,KC,Kingsoft Cloud Holdings Limited,25.93,-2.65,-9.27,6.266B,38.565368299267256
28,2021-10-26,UPST,"Upstart Holdings, Inc.",327.08,-32.73,-9.1,25.436B,3.0573559985324694
29,2021-10-26,HNP,"Huaneng Power International, Inc.",17.87,-1.77,-9.01,7.013B,55.95970900951315
30,2021-10-26,RLX,RLX Technology Inc.,5.27,-0.51,-8.82,8.278B,189.753320683112
31,2021-10-26,YMM,Full Truck Alliance Co. Ltd.,15.41,-1.45,-8.6,16.733B,64.89292667099286
32,2021-10-26,PJT,PJT Partners Inc.,81.36,-7.63,-8.57,3.34B,12.291052114060964
33,2021-10-26,PRG,"PROG Holdings, Inc.",42.47,-3.97,-8.55,2.824B,23.54603249352484
34,2021-10-26,VNET,"VNET Group, Inc.",16.77,-1.55,-8.46,2.41B,59.63029218843173
35,2021-10-26,EXAI,Exscientia plc,21.51,-1.98,-8.43,2.59B,46.49000464900046
36,2021-10-26,TUYA,Tuya Inc.,7.36,-0.65,-8.11,4.12B,135.8695652173913
37,2021-10-27,ARQQ,Arqit Quantum Inc.,19.11,-2.89,-13.14,2.295B,52.32862375719519
38,2021-10-27,LBRT,Liberty Oilfield Services Inc.,13.63,-1.95,-12.52,2.456B,73.36757153338225
39,2021-10-27,ROL,"Rollins, Inc.",35.08,-4.25,-10.81,17.262B,28.50627137970353
40,2021-10-27,TWTR,"Twitter, Inc.",54.81,-6.62,-10.78,43.737B,18.24484583105273
41,2021-10-27,ROCK,"Gibraltar Industries, Inc.",64.13,-7.61,-10.61,2.093B,15.59332605644784
42,2021-10-27,HOOD,"Robinhood Markets, Inc.",35.44,-4.13,-10.44,29.616B,28.21670428893905
43,2021-10-27,PRTA,Prothena Corporation plc,54.68,-6.34,-10.39,2.463B,18.2882223847842
44,2021-10-27,LILM,Lilium N.V.,8.16,-0.93,-10.23,2.321B,122.54901960784314
45,2021-10-27,VALN,Valneva SE,47.37,-5.32,-10.1,2.363B,21.11040743086341
46,2021-10-27,FISV,"Fiserv, Inc.",98.83,-11.01,-10.02,66.202B,10.118385105737124
47,2021-10-27,CSGP,"CoStar Group, Inc.",89.82,-9.92,-9.95,35.475B,11.133377866844802
48,2021-10-27,DT,"Dynatrace, Inc.",70.03,-7.67,-9.87,19.937B,14.27959445951735
49,2021-10-27,FBC,"Flagstar Bancorp, Inc.",49.92,-5.09,-9.25,2.639B,20.03205128205128
50,2021-10-27,ALKS,Alkermes plc,28.65,-2.86,-9.08,4.622B,34.904013961605585
51,2021-10-27,LC,LendingClub Corporation,31.62,-3.08,-8.88,3.118B,31.625553447185325
52,2021-10-27,GRMN,Garmin Ltd.,146.21,-14.09,-8.79,28.779B,6.839477463921756
53,2021-10-27,LGF-B,Lions Gate Entertainment Corp.,11.51,-1.09,-8.65,2.703B,86.88097306689835
54,2021-10-27,MPLN,MultiPlan Corporation,4.33,-0.41,-8.65,2.978B,230.9468822170901
55,2021-10-27,ATHM,Autohome Inc.,39.64,-3.74,-8.62,4.954B,25.22704339051463
56,2021-10-27,QS,QuantumScape Corporation,23.44,-2.19,-8.54,9.756B,42.66211604095563
57,2021-10-27,SIX,Six Flags Entertainment Corporation,42.3,-3.9,-8.44,3.632B,23.64066193853428
58,2021-10-27,LGF-A,Lions Gate Entertainment Corp.,12.94,-1.19,-8.42,2.709B,77.27975270479135
59,2021-10-27,TTGT,"TechTarget, Inc.",88.15,-7.93,-8.25,2.482B,11.344299489506522
60,2021-10-27,FJTSY,Fujitsu Limited,35.16,-3.14,-8.2,34.869B,28.441410693970425
61,2021-10-27,FIGS,"FIGS, Inc.",32.75,-2.9,-8.13,5.508B,30.53435114503817
62,2021-10-28,TWLO,Twilio Inc.,284.93,-60.73,-17.57,50.475B,3.5096339451795178
63,2021-10-28,ALNY,"Alnylam Pharmaceuticals, Inc.",162.14,-29.02,-15.18,19.27B,6.167509559639818
64,2021-10-28,PANHF,Ping An Healthcare and Technology Company Limited,5.65,-0.9,-13.74,6.565B,176.99115044247787
65,2021-10-28,THRM,Gentherm Incorporated,76.4,-12.11,-13.68,2.533B,13.089005235602093
66,2021-10-28,STEM,"Stem, Inc.",23.03,-3.62,-13.58,3.017B,43.42162396873643
67,2021-10-28,FUTU,Futu Holdings Limited,58.47,-8.55,-12.76,8.576B,17.10278775440397
68,2021-10-28,WEX,WEX Inc.,160.84,-23.33,-12.67,7.205B,6.217358865953742
69,2021-10-28,UPWK,Upwork Inc.,48.98,-5.94,-10.82,6.251B,20.41649652919559
70,2021-10-28,FOUR,"Shift4 Payments, Inc.",64.19,-7.74,-10.76,5.321B,15.578750584203148
71,2021-10-28,SWI,SolarWinds Corporation,16.63,-1.73,-9.42,2.628B,60.13229104028864
72,2021-10-28,SWMAY,Swedish Match AB (publ),8.12,-0.78,-8.76,12.683B,123.15270935960592
73,2021-10-28,FLS,Flowserve Corporation,32.94,-3.08,-8.55,4.291B,30.35822707953856
